b	家
vkhw	缴
vkjf	给
vkjj	绝
vkjx	绉
vkjc	缘
vkjs	缎
vkqg	绂
vkxk	红
vkxh	纱
vkxj	纸
vkxx	缥
vkxs	缪
vkzf	结
vkzl	纥
vkzx	绥
vkzr	缬
vkzv	缓 绶
vkcf	绍
vkcj	绁
vkcq	缄
vkcc	缛
vkcv	绀
vksp	缫
vksf	绱
vksd	续
vkst	缁
vksq	绡
vksr	绪 绚 缗
vksv	绑
vkrb	绲
vkrz	缇
vkrr	纵
vkrv	缦
vkry	绘
vkvd	纬
vkvn	绎
vkvk	经
vkvj	缆
vkvq	线
vkvr	绩
vkvv	缀
vkvy	纭
vkwm	绛
vkwf	络 绺 缟
vkwn	缡
vkwz	缝
vkws	统
vkwv	终
vkwy	纹
vkyf	绐
vkyy	绷
vhjd	表
vhsk	陲
vhrg	飨
vhrw	隍
vjlg	毒
vjlx	纛
vjxl	隐
vjsk	险
vqbg	陇
vqbz	靛
vqjm	静
vqqt	堕
vqqz	随
vqxq	隋
vqxs	隳
vxkd	刭
vxkh	劲 巯
vxkz	迳
vxkr	颈
vxrx	隙
vxwd	襞
vxwg	璧
vzmv	阼
vsfj	鼋
vsdr	顽
vszh	陶
vryq	隰
vvnr	贤
vvlk	竖
vvkn	鸶
vvxk	陉
vvvp	桑
vvvs	叠
vvvr	颡
vvyx	紧
vwfy	螯
vwnr	赘
vwkh	聱
vwkv	隆
vwjk	鳌
vwqm	降
vwyr	陔
vyby	魂
vylh	动
wbbp	琛
wbfq	膏
wbds	珲
wbkm	亭
wbkc	豪
wbhq	亳
wbjj	琬
wbjy	瑰
wbvx	琮
wbyq	毫
wmgf	咎
wmgr	昝
wfmf	璐
wfmd	衷
wffd	襄
wffg	瓤
wflw	雒
wfzz	璇
wdmg	环
wdnr	顼
wdkm	琦
wdcd	琢
wdsz	琏
wdvm	珩
wtdr	颃
wnfp	敲
wnnk	珊
wnsg	球
wnrx	璎
wnvm	瑁
wnwd	亵
wlmq	烹
wlfd	褒
wlnt	塾
wlnn	鹑
wlnl	憝
wlnq	熟
wlnv	郭
wlnw	敦 孰
wlgd	袤
wlkg	玳
wlkz	璋
wlhf	珈
wgmv	瑕
wgxf	瑭
wgsf	琚
wgyb	璜
wkfm	珂
whfy	蛮
whdd	珧
whdv	瑞
whtr	瓒
whnl	璁
whln	孪
whlw	璀
whkf	璞
whkc	璩
whhv	燮
whjp	璨
whjf	裔
whjd	衣 哀
whrf	碧
whrr	颤
whvx	禀
wjhd	裒
wjqd	瑜
wjsj	氓
wjyw	望
wqbg	珑
wqmz	逄
wqmv	琊
wzbv	瑷
wzgv	瑗
wzzh	瑶
wcnd	瑛
wckv	瑾
wcsb	琪
wsmz	逢
wsfy	瑚
wsnr	琐
wskj	珉
wshk	瑙
wrbb	琨
wrpd	裹
wrlg	玲
wrhd	衰
wrrs	卒
wvfy	螽
wvht	壅
wvhg	饔
wvhw	雍
wwbb	琵
wwmj	琶
wwcx	嫠
wwrl	琴
wwyn	璃
wwyh	琉
wwyw	斑
wyff	蠃
wydf	羸
wydv	斋
wynf	赢
wynn	离
wygp	斓
wyqd	剂
wyqk	齑
wyxf	嬴
wyss	率
wyrd	刻
wyrh	劾
wyrr	颏
wyvg	斌
wyyx	紊
ybbt	膣
ybbk	腔
ybhd	脓
ybjj	腕
ybqb	膑
ybvx	腙
ybvs	脘
ybwp	皴
ybwz	逡
ypkg	弑
yprs	膝
ymtq	熏
yfmf	露
yffp	臊
yffj	腭
yffv	酃
ydpm	膦
ydmk	胚
ydfm	腾
ydft	塍
ydfx	媵
ydfs	滕
ydns	腼
ydnr	颥
ydnv	需
ydkf	膳
ydkd	朕
ydsq	毵
ydrj	腌
ydvj	胯
ytyd	脚
yndk	胭
yngb	腆
ylbf	膀 膪
ylkl	臆
ylkx	霎
ylhv	胁
ygms	脲
ygmv	霞
ygdh	臁
yglc	腑
ygls	脉
ygqw	霰
yknj	肫
ykgr	胰
ykkr	霈
ykqg	脯
ykqc	膊
ykzz	霪
ykvg	腻
yhzg	霆
yhrs	腺
yjqd	腧
yjcj	脆
yjsk	脸
yjrj	霭
yqbb	能
yqbg	胧
yqbq	熊
yqdr	氆
yqnb	鬯
yqhf	毡
yqhh	毯
yqjr	氇
yqxg	毽
yqrb	欷
yqrv	郗
yqyn	毪
yqyq	毳
yqyv	郄
yxng	腱
yxjg	胝
yxvx	膘
yzmv	胙
yzfs	膨
yzfv	臌
yzln	脬
yzjg	霉
yzcv	霾
yzrw	腹
ycbc	朦
yclh	雳
ycrd	膜
ycvd	震
ysbn	脖
ysft	膛
ysng	腩
ysks	胱
ysrd	腠
ysyn	胸
yrlg	零
yrhv	腥
yrrt	脞
yrvy	脍
yvxk	胫
ywlh	雾
ywlw	腋
ywhk	膻
ywvw	臃
ywyn	脑
ywyq	脐 霁
ywyr	胲
yykq	畿
yyyt	垒
